timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,brownout,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV
946688387,20,3168,2948,1741,False,0.0,220,1427
946691991,20,2968,2766,1663,False,1.001111111111111,202,1305
946695595,20,2962,2756,1616,False,2.002222222222222,206,1346
946699199,20,2955,2759,1639,False,3.0033333333333334,196,1316
946702803,20,2951,2749,1566,False,4.004444444444444,202,1385
946706408,20,2950,2745,1607,False,5.005833333333333,205,1343
946710012,20,2950,2738,1569,False,6.006944444444445,212,1381
946713616,20,2952,2732,1597,False,7.008055555555556,220,1355
946717220,20,2955,2732,1612,False,8.009166666666667,223,1343
946720825,20,2954,2726,1622,False,9.010555555555555,228,1332
946724429,20,2948,2735,1629,False,10.011666666666667,213,1319
946728033,20,2956,2729,1583,False,11.012777777777778,227,1373
946731637,20,2942,2727,1538,False,12.01388888888889,215,1404
946735241,20,2939,2724,1555,False,13.015,215,1384
946738846,20,2942,2725,1568,False,14.016388888888889,217,1374
946742450,20,2940,2722,1574,False,15.0175,218,1366
946746054,20,2937,2717,1553,False,16.01861111111111,220,1384
946749658,20,2932,2718,1597,False,17.01972222222222,214,1335
946753263,20,2937,2716,1475,False,18.02111111111111,221,1462
946756867,20,2933,2710,1535,False,19.022222222222222,223,1398
946760471,20,2932,2710,1488,False,20.023333333333333,222,1444
946764076,20,2935,2706,1488,False,21.024722222222223,229,1447
946767680,20,2929,2723,1546,False,22.025833333333335,206,1383
946771284,20,2935,2717,1656,False,23.026944444444446,218,1279
946774888,20,2923,2721,1575,False,24.028055555555557,202,1348
946778493,20,2925,2716,1542,False,25.029444444444444,209,1383
946782097,20,2920,2712,1524,False,26.030555555555555,208,1396
946785701,20,2922,2706,1635,False,27.031666666666666,216,1287
946789305,20,2915,2703,1515,False,28.032777777777778,212,1400
946792910,20,2912,2693,1604,False,29.034166666666668,219,1308
946796514,20,2905,2686,1481,False,30.03527777777778,219,1424
946800118,20,2904,2680,1488,False,31.03638888888889,224,1416
946803723,20,2880,2663,1476,False,32.03777777777778,217,1404
946807327,20,2877,2648,1433,False,33.03888888888889,229,1444
946810931,20,2869,2645,1307,False,34.04,224,1562
946814536,20,2862,2629,1486,False,35.04138888888889,233,1376
946818140,20,2851,2625,1295,False,36.0425,226,1556
946821745,20,2829,2610,1458,False,37.04388888888889,219,1371
946825349,20,2818,2590,1224,False,38.045,228,1594
946828954,20,2800,2562,1109,False,39.04638888888889,238,1691
946832558,20,2784,2535,1066,False,40.0475,249,1718
946836163,20,2798,2508,1044,False,41.04888888888889,290,1754
946839768,20,2767,2508,1085,False,42.05027777777778,259,1682
946843373,20,2746,2488,1129,False,43.05166666666667,258,1617
946846978,20,2713,2435,1023,False,44.05305555555555,278,1690
946850583,20,2694,2408,1002,False,45.05444444444444,286,1692
946854188,20,2713,2416,1006,False,46.05583333333333,297,1707
946857792,20,2729,2429,1017,False,47.05694444444445,300,1712
946861397,20,2729,2445,1018,False,48.05833333333333,284,1711
946865002,20,2737,2457,1014,False,49.05972222222222,280,1723
946868607,20,2722,2426,1009,False,50.06111111111111,296,1713
