scope,temp_group_C,column,N,mean_value_at_low,std_value_at_low,norm_std_value_at_low,CV_value_at_low,IQR_value_at_low,mean_abs_slope_at_low,std_abs_slope_at_low,norm_std_abs_slope_at_low,mean_abs_curvature_at_low,std_abs_curvature_at_low,norm_std_abs_curvature_at_low,mean_noise_std,mean_abs_spearman,SNR_slope
overall,,batt_mV,17,2731.3529411764707,64.61031378238944,0.023655058563965724,0.023655058563965724,85.0,16.080609714461925,10.093527639715491,0.6276831425513664,7.320224775930856,6.624209763444098,0.9049189015649794,15.874334357858075,0.9351430083172032,1.0129942681030741
overall,,boltDroopMag_mV,17,1384.9411764705883,271.1179334229468,0.19576133487045938,0.19576133487045938,308.0,63.63835096104182,59.47288668853686,0.9345447484166429,48.94106510348679,53.403936469034115,1.0911886849236014,51.238946987485505,0.6420112585928609,1.241991779740999
overall,,boltDroop_mV,17,1346.4117647058824,313.1639065296976,0.23259148110467295,0.23259148110467295,365.0,71.73861705740862,62.14430092012579,0.8662600907178765,51.108040469443225,56.095372172655345,1.0975840916106727,59.823623372270326,0.7554620202130614,1.1991687064989978
overall,,soundDroopMag_mV,17,457.70588235294116,248.63245079481337,0.5432144536064551,0.5432144536064551,412.0,22.30033911755914,33.1069767774738,1.4845952163752336,14.119709919330045,22.442706420055842,1.5894594540735938,19.395373078784136,0.783663971667283,1.149776239259488
overall,,soundDroop_mV,17,2273.6470588235293,290.51354124559987,0.12777424715862565,0.12777424715862565,485.0,37.326197606443806,39.30485145398794,1.0530097886853214,14.994148284932685,23.103562149505695,1.5408385798559827,34.086505840818006,0.9323691581972686,1.0950432344328564
per_temp,-18.0,batt_mV,2,2658.5,21.920310216782973,0.008245367770089515,0.008245367770089515,,14.46135507304757,7.765423805176411,0.536977604515725,5.468192574492893,2.1095844238808503,0.3857919038406375,16.115747382603683,0.9878324611361404,0.8973431222096492
per_temp,-18.0,boltDroopMag_mV,2,1682.0,57.982756057296896,0.034472506573898276,0.034472506573898276,,7.9739704304414545,5.64665705036052,0.708136191326196,6.469825123253592,3.517142928364892,0.5436225649629561,7.844260842923822,0.7661793925216667,1.0165356035597213
per_temp,-18.0,boltDroop_mV,2,976.5,36.062445840513924,0.0369303080804034,0.0369303080804034,,6.487384642606287,2.1187667548158116,0.3265979854039614,1.0016325487610365,1.40755850448372,1.4052643419233843,8.770400627959436,0.9929379341153004,0.7396907983798311
per_temp,-18.0,soundDroopMag_mV,2,453.0,107.48023074035522,0.23726320251734045,0.23726320251734045,,7.483785453785032,9.170638543040893,1.225401048663509,3.476640235221712,3.517337503176069,1.0117059187033661,7.379314977895402,0.8104221577592534,1.014157205133887
per_temp,-18.0,soundDroop_mV,2,2205.5,85.55992052357225,0.03879388824464849,0.03879388824464849,,20.945975774642648,2.81824708145715,0.13454837873291825,8.944832809714125,1.4077530792947754,0.15738170955704728,22.58918872187631,0.9927272481437205,0.9272566639083276
per_temp,20.0,batt_mV,10,2709.3,49.56936778114304,0.018296005529525355,0.018296005529525355,48.0,19.754882192777313,10.701060803169126,0.5416919573978324,8.461822813937498,6.405924391892033,0.7570383512806262,19.231811674600188,0.9211895517209492,1.0271981926106293
per_temp,20.0,boltDroopMag_mV,10,1483.8,126.53484368610357,0.08527756010655316,0.08527756010655316,189.75,48.212530398947095,31.849642639848803,0.6606092311749802,60.005494224888345,63.664475077628104,1.060977430483726,56.07427234305798,0.48724102906339634,0.8597977001642864
per_temp,20.0,boltDroop_mV,10,1225.5,129.74355047126193,0.10586989022542793,0.10586989022542793,188.25,57.59041661313931,41.581858222273596,0.7220273904527833,62.093681323581436,64.42433635840707,1.0375344960251298,67.81095571080012,0.6193958933289501,0.8492789403935064
per_temp,20.0,soundDroopMag_mV,10,583.9,225.4582740405269,0.3861248056868075,0.3861248056868075,113.5,33.91828339856651,39.55090438027632,1.1660644471750556,16.136263089207738,29.307019922349433,1.8162210023676775,28.498632244126675,0.7701798058627988,1.1901723250440126
per_temp,20.0,soundDroop_mV,10,2125.4,241.03443737358361,0.11340662339963471,0.11340662339963471,129.75,52.67665422252473,45.690887276874264,0.8673840043800024,18.62052936350746,29.924603997085175,1.607075900631024,46.76318861215485,0.9055410205185748,1.1264555687041589
per_temp,58.0,batt_mV,2,2813.5,19.091883092036785,0.00678581236610513,0.00678581236610513,,12.474636038145036,7.757601538548741,0.6218699699796842,3.484495645531601,0.7016314729644959,0.20135811444168233,9.474569252950701,0.9434852869983563,1.3166441349573768
per_temp,58.0,boltDroopMag_mV,2,1204.0,29.698484809834994,0.02466651562278654,0.02466651562278654,,80.35651511620824,60.02031581595215,0.746925320605968,33.852841504744305,15.47436120739179,0.4571067159967395,46.824483271176796,0.8793439899230364,1.716121770118334
per_temp,58.0,boltDroop_mV,2,1609.5,48.79036790187178,0.03031399061936737,0.03031399061936737,,92.83115115435305,52.26271427740309,0.5629868166829511,37.337337150276014,16.175992680356128,0.43323905545943703,52.45414822462605,0.9103288535963033,1.7697580514856381
per_temp,58.0,soundDroopMag_mV,2,162.5,50.204581464244875,0.30895127054919924,0.30895127054919924,,5.990155411199403,7.060281189386914,1.1786474147543429,12.945450898278626,1.4145855611777078,0.1092727918319019,5.230047881305438,0.7930562527932576,1.1453347172233228
per_temp,58.0,soundDroop_mV,2,2651.0,69.29646455628166,0.026139745211724505,0.026139745211724505,,18.464791449344375,0.6973203491621187,0.03776486461139415,12.449322525851441,6.342406561118492,0.5094579683310694,12.931959060389392,0.9654295238702293,1.427841780438515
per_temp,59.0,batt_mV,3,2798.6666666666665,25.146238950056393,0.008985078233702856,0.008985078233702856,,7.3165203318981185,6.414501540820792,0.876714783782564,7.306738870466862,11.800388806263994,1.6150007568985438,8.788311355492185,0.9409667093046569,0.8325285752792221
per_temp,59.0,boltDroopMag_mV,3,978.0,309.2199864174371,0.31617585523255326,0.31617585523255326,,141.02189708498028,91.45552953916811,0.6485200626967647,50.4326104181321,42.47093583336035,0.8421324115733403,66.99396237615753,0.916911446851756,2.1049941230997935
per_temp,59.0,boltDroop_mV,3,1820.6666666666667,300.76125637012046,0.16519292733620677,0.16519292733620677,,148.3384174168782,85.09919699519371,0.5736827888357326,57.07397844888209,54.83959975678674,0.9608511838000473,72.14764750514111,0.9474539449697789,2.05603955979726
per_temp,59.0,soundDroopMag_mV,3,237.0,137.5027272456805,0.5801802837370484,0.5801802837370484,,4.325016427623832,4.155020064069228,0.9606946317084857,15.276085156510907,4.490632822414137,0.2939648984936536,6.505431393220647,0.8045108795369328,0.664831610111354
per_temp,59.0,soundDroop_mV,3,2561.6666666666665,162.25391623419551,0.06333919957092864,0.06333919957092864,,9.65242754544109,3.0489113756729984,0.3158699054014677,8.635638845883307,7.06785324273164,0.8184516940632545,13.598805869275418,0.9595173133799727,0.7097996425737195
