timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,brownout,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV
946690260,20,3175,2975,1665,False,0.0,200,1510
946695665,20,2999,2804,1579,False,1.5013888888888889,195,1420
946701070,20,2983,2783,1525,False,3.0027777777777778,200,1458
946706474,20,2984,2788,1649,False,4.503888888888889,196,1335
946711879,20,2981,2781,1548,False,6.005277777777778,200,1433
946717284,20,2982,2780,1577,False,7.506666666666667,202,1405
946722688,20,2972,2771,1542,False,9.007777777777777,201,1430
946728093,20,2978,2771,1610,False,10.509166666666667,207,1368
946733497,20,2973,2766,1586,False,12.010277777777778,207,1387
946738902,20,2973,2766,1573,False,13.511666666666667,207,1400
946744307,20,2969,2765,1579,False,15.013055555555555,204,1390
946749711,20,2965,2762,1570,False,16.514166666666668,203,1395
946755116,20,2962,2762,1596,False,18.015555555555554,200,1366
946760521,20,2964,2761,1603,False,19.516944444444444,203,1361
946765925,20,2971,2765,1559,False,21.018055555555556,206,1412
946771330,20,2967,2763,1610,False,22.519444444444446,204,1357
946776735,20,2959,2760,1577,False,24.020833333333332,199,1382
946782139,20,2965,2760,1593,False,25.521944444444443,205,1372
946787544,20,2966,2764,1618,False,27.023333333333333,202,1348
946792949,20,2964,2766,1587,False,28.524722222222223,198,1377
946798353,20,2965,2756,1513,False,30.025833333333335,209,1452
946803758,20,2962,2747,1612,False,31.52722222222222,215,1350
946809162,20,2949,2753,1529,False,33.028333333333336,196,1420
946814567,20,2950,2755,1678,False,34.52972222222222,195,1272
946819972,20,2953,2753,1540,False,36.03111111111111,200,1413
946825376,20,2948,2750,1627,False,37.532222222222224,198,1321
946830781,20,2947,2747,1601,False,39.033611111111114,200,1346
946836186,20,2940,2744,1534,False,40.535,196,1406
946841590,20,2939,2732,1569,False,42.03611111111111,207,1370
946846995,20,2930,2723,1527,False,43.5375,207,1403
946852400,20,2930,2724,1519,False,45.03888888888889,206,1411
946857804,20,2923,2667,1582,False,46.54,256,1341
946863209,20,2917,2702,1457,False,48.04138888888889,215,1460
946868614,20,2914,2689,1478,False,49.54277777777778,225,1436
946874019,20,2900,2679,1392,False,51.04416666666667,221,1508
946879423,20,2890,2669,1455,False,52.54527777777778,221,1435
946884828,20,2876,2650,1441,False,54.04666666666667,226,1435
946890233,20,2861,2639,1451,False,55.54805555555556,222,1410
946895638,20,2853,2620,1354,False,57.04944444444445,233,1499
946901043,20,2834,2596,1350,False,58.55083333333334,238,1484
946906448,20,2819,2582,1279,False,60.05222222222222,237,1540
946911853,20,2802,2556,1328,False,61.55361111111111,246,1474
946917258,20,2779,2530,1117,False,63.055,249,1662
946922663,20,2759,2507,1158,False,64.55638888888889,252,1601
946928068,20,2726,2445,1027,False,66.05777777777777,281,1699
