Timestamp, Temperature (C), Battery Voltage (mV), Min Droop Voltage (mV)
946691546,24,3140,3079
946695147,24,2986,2922
946698748,24,2961,2895
946702349,24,2952,2886
946705950,24,2942,2886
946709551,24,2956,2885
946713152,24,2953,2889
946716753,24,2942,2884
946720353,24,2953,2892
946723954,24,2949,2886
946727555,24,2948,2885
946731156,24,2956,2882
946734757,24,2952,2885
946738358,23,2947,2884
946741959,23,2953,2883
946745560,23,2952,2881
946749160,23,2946,2880
946752761,23,2944,2885
946756362,23,2942,2886
946759963,23,2941,2876
946763564,23,2944,2879
946767165,24,2943,2882
946770766,24,2952,2886
946774367,24,2942,2888
946777967,24,2952,2891
946781568,24,2943,2886
946785169,24,2949,2886
946788770,24,2947,2886
946792371,24,2949,2891
946795972,24,2946,2889
946799573,24,2946,2886
946803174,24,2942,2888
946806774,24,2949,2889
946810375,24,2955,2886
946813976,24,2950,2891
946817577,24,2949,2886
946821178,24,2947,2891
946824779,24,2944,2888
946828380,24,2947,2893
946831981,24,2947,2886
946835581,24,2940,2888
946839182,24,2948,2886
946842783,24,2942,2882
946846384,24,2952,2888
946849985,24,2921,1925
946853586,24,2893,1925
946857187,24,2891,1886
946860788,24,2888,1854
946864389,24,2884,1794
946867990,24,2868,1749
946871590,24,2879,1997
946875191,24,2858,1909
946878792,24,2851,1885
946882393,24,2839,1848
946885994,24,2826,1791
946889595,24,2812,1735
946893195,24,2803,1685
946896796,24,2797,1465
946900397,24,2781,1110
946903998,24,2769,999
946907599,24,2753,989
946911200,24,2750,966
946914801,24,2737,956
946918402,24,2733,967
946922002,24,2722,988
946925603,24,2706,940
946929204,24,2705,988
946932805,24,2694,950
946936406,24,2688,959
946940007,24,2715,2185